食物类别,食物名,食物热量,食物链接
谷薯芋、杂豆、主食,白粥，又叫白粥（粳米），稀饭，大米粥，白米粥，米粥，大米汤汤,46 大卡(每100克),http://www.boohee.com//shiwu/jingmizhou
谷薯芋、杂豆、主食,稀饭，又叫白粥（籼米），大米粥，白米粥,59 大卡(每100克),http://www.boohee.com//shiwu/xianmizhou
谷薯芋、杂豆、主食,鲜玉米，又叫玉米（鲜）、苞谷、珍珠米、棒子、玉蜀黍、苞米、六谷、,112 大卡(每100克),http://www.boohee.com//shiwu/yumi_xian
谷薯芋、杂豆、主食,燕麦片，又叫燕麦,338 大卡(每100克),http://www.boohee.com//shiwu/yanmaipian
谷薯芋、杂豆、主食,面条(生)，又叫面,301 大卡(每100克),http://www.boohee.com//shiwu/miantiao_junzhi
谷薯芋、杂豆、主食,煮面条，又叫面、水煮面、面条（煮）,107 大卡(每100克),http://www.boohee.com//shiwu/miantiao_fuqiangfen_zhu
谷薯芋、杂豆、主食,籼米粉，又叫米线、米粉、粉、排米粉,356 大卡(每100克),http://www.boohee.com//shiwu/xianmifen
谷薯芋、杂豆、主食,面包,313 大卡(每100克),http://www.boohee.com//shiwu/mianbao_junzhi
谷薯芋、杂豆、主食,红薯，又叫地瓜、番薯、甘薯、山芋、红薯,86 大卡(每100克),http://www.boohee.com//shiwu/ganshu_hongxin
谷薯芋、杂豆、主食,小米粥,46 大卡(每100克),http://www.boohee.com//shiwu/xiaomizhou
谷薯芋、杂豆、主食,马铃薯，又叫土豆、洋芋、地蛋、山药蛋、洋番薯、土豆、洋芋,81 大卡(每100克),http://www.boohee.com//shiwu/malingshu
谷薯芋、杂豆、主食,包子(猪肉馅),227 大卡(每100克),http://www.boohee.com//shiwu/baozi_zhurouxian
谷薯芋、杂豆、主食,米饭，又叫大米饭，饭，蒸米、锅巴饭、煮米饭,116 大卡(每100克),http://www.boohee.com//shiwu/mifan_zheng
谷薯芋、杂豆、主食,白薯，又叫山芋、红皮山芋，地瓜、甘薯、红皮山芋,106 大卡(每100克),http://www.boohee.com//shiwu/ganshu_baixin
谷薯芋、杂豆、主食,大米，又叫稻米、米、生米,346 大卡(每100克),http://www.boohee.com//shiwu/daomi_junzhi
谷薯芋、杂豆、主食,全麦面包，又叫全麦面包、全麦吐司、全麦面包片、全麦土司,254 大卡(每100克),http://www.boohee.com//shiwu/maipeimianbao
谷薯芋、杂豆、主食,烙饼,258 大卡(每100克),http://www.boohee.com//shiwu/laobing_biaozhunfen
谷薯芋、杂豆、主食,花卷，又叫花之卷、大花卷、小花卷,214 大卡(每100克),http://www.boohee.com//shiwu/huajuan
谷薯芋、杂豆、主食,油条，又叫小油条,388 大卡(每100克),http://www.boohee.com//shiwu/youtiao
谷薯芋、杂豆、主食,曼可顿 全麦高纤维面包,221 大卡(每100克),http://www.boohee.com//shiwu/mankedunquanmaigaoxianweimianbao2
谷薯芋、杂豆、主食,嘉顿 生命面包 450g,284 大卡(每100克),http://www.boohee.com//shiwu/shengmingmaibaopaiquanmaiqiepianmianbao
谷薯芋、杂豆、主食,包子(三鲜馅),223 大卡(每100克),http://www.boohee.com//shiwu/baozi_sanxianxian
谷薯芋、杂豆、主食,馒头，又叫手工馒头、大馒头,223 大卡(每100克),http://www.boohee.com//shiwu/mantou_junzhi
谷薯芋、杂豆、主食,油饼,403 大卡(每100克),http://www.boohee.com//shiwu/youbing
谷薯芋、杂豆、主食,单层汉堡(夹肉饼，加调料酱和蔬菜)，又叫汉堡,256 大卡(每100克),http://www.boohee.com//shiwu/hanbaobao_putongxing_jiaroubing_jiadiaoliaojiangheshucai
谷薯芋、杂豆、主食,紫薯，又叫甘薯（紫色）,133 大卡(每100克),http://www.boohee.com//shiwu/zishu
谷薯芋、杂豆、主食,米粉(干)，又叫粉,349 大卡(每100克),http://www.boohee.com//shiwu/mifen
谷薯芋、杂豆、主食,黄油面包,331 大卡(每100克),http://www.boohee.com//shiwu/huangyoumianbao
谷薯芋、杂豆、主食,方便面，又叫泡面,473 大卡(每100克),http://www.boohee.com//shiwu/fangbianmian
谷薯芋、杂豆、主食,果料面包，又叫面包、水果面包,279 大卡(每100克),http://www.boohee.com//shiwu/guoliaomianbao
蛋类、肉类及制品,鸡蛋，又叫鸡子、鸡卵、蛋,139 大卡(每100克),http://www.boohee.com//shiwu/jidan_junzhi
蛋类、肉类及制品,猪小排，又叫排骨、猪排、猪脊骨,295 大卡(每100克),http://www.boohee.com//shiwu/zhuxiaopai
蛋类、肉类及制品,鸡(土鸡，家养),124 大卡(每100克),http://www.boohee.com//shiwu/ji_tuji_jiayang
蛋类、肉类及制品,鸡(母鸡，一年内),256 大卡(每100克),http://www.boohee.com//shiwu/muji_yiniannei
蛋类、肉类及制品,鸡(肉鸡，肥),389 大卡(每100克),http://www.boohee.com//shiwu/rouji_fei
蛋类、肉类及制品,虾，又叫对虾、鲜虾仁、虾仁,93 大卡(每100克),http://www.boohee.com//shiwu/fd5d8dea
蛋类、肉类及制品,鸭肉，又叫鸭子、鹜肉、家凫肉,240 大卡(每100克),http://www.boohee.com//shiwu/ya_junzhi
蛋类、肉类及制品,猪蹄，又叫猪脚、猪手、猪蹄爪,260 大卡(每100克),http://www.boohee.com//shiwu/zhuti
蛋类、肉类及制品,猪肉(瘦)，又叫猪精肉，瘦肉,143 大卡(每100克),http://www.boohee.com//shiwu/zhurou_shou
蛋类、肉类及制品,鸡蛋白(鸡蛋清)，又叫鸡蛋白、鸡蛋清、蛋清、蛋白,60 大卡(每100克),http://www.boohee.com//shiwu/jidanbai_jidanqing
蛋类、肉类及制品,火腿肠,212 大卡(每100克),http://www.boohee.com//shiwu/huotuichang
蛋类、肉类及制品,鸡胸肉，又叫鸡柳肉、鸡里脊肉、鸡胸、鸡胸脯肉,118 大卡(每100克),http://www.boohee.com//shiwu/jixiongfurou
蛋类、肉类及制品,荷包蛋(油煎)，又叫荷包蛋、煎蛋、煎荷包蛋、煎鸡蛋,195 大卡(每100克),http://www.boohee.com//shiwu/hebaodan_youjian
蛋类、肉类及制品,咸鸭蛋，又叫盐蛋、腌蛋、味蛋,190 大卡(每100克),http://www.boohee.com//shiwu/xianyadan
蛋类、肉类及制品,猪肉(肥瘦)，又叫豕肉、彘肉,395 大卡(每100克),http://www.boohee.com//shiwu/zhurou_feishou
蛋类、肉类及制品,瓦罐鸡汤(含料)，又叫瓦罐汤,190 大卡(每100克),http://www.boohee.com//shiwu/waguanjitang_rou
蛋类、肉类及制品,瓦罐鸡汤(无料),27 大卡(每100克),http://www.boohee.com//shiwu/waguanjitang_tang
蛋类、肉类及制品,猪小排(良杂猪),351 大卡(每100克),http://www.boohee.com//shiwu/zhuxiaopai_liangzazhu
蛋类、肉类及制品,猪肉(奶脯)，又叫软五花、奶脯、五花肉,349 大卡(每100克),http://www.boohee.com//shiwu/zhurou_naifu
蛋类、肉类及制品,猪大排，又叫猪排,264 大卡(每100克),http://www.boohee.com//shiwu/zhudapai
蛋类、肉类及制品,牛肉(腑肋)，又叫牛腩,123 大卡(每100克),http://www.boohee.com//shiwu/niurou_fulei
蛋类、肉类及制品,草鱼，又叫鲩鱼、混子、草鲩、草包鱼、草根鱼、草青、白鲩,113 大卡(每100克),http://www.boohee.com//shiwu/caoyu
蛋类、肉类及制品,鸡蛋(土鸡),138 大卡(每100克),http://www.boohee.com//shiwu/jidan_tuji
蛋类、肉类及制品,鸡蛋(白皮),138 大卡(每100克),http://www.boohee.com//shiwu/jidan_baipi
蛋类、肉类及制品,鸡蛋(红皮),156 大卡(每100克),http://www.boohee.com//shiwu/jidan_hongpi
蛋类、肉类及制品,鸡腿，又叫鸡腿肉,146 大卡(每100克),http://www.boohee.com//shiwu/jitui
蛋类、肉类及制品,酱牛肉,246 大卡(每100克),http://www.boohee.com//shiwu/jiangniurou
蛋类、肉类及制品,鱼丸，又叫鱼丸子、鱼丸鱼蛋,107 大卡(每100克),http://www.boohee.com//shiwu/yuwan
蛋类、肉类及制品,香肠，又叫腊肠、南肠、灌肠,508 大卡(每100克),http://www.boohee.com//shiwu/xiangchang
蛋类、肉类及制品,肯德基 吮指原味鸡，又叫KFC 吮指原味鸡,346 大卡(每100克),http://www.boohee.com//shiwu/kendejishunzhiyuanweiji
奶类及制品,酸奶,70 大卡(每100毫升),http://www.boohee.com//shiwu/suannai_junzhi
奶类及制品,牛奶，又叫纯牛奶、牛乳、全脂牛奶,65 大卡(每100毫升),http://www.boohee.com//shiwu/niuru_junzhi
奶类及制品,无糖全脂拿铁，又叫拿铁咖啡、拿铁（全脂，无糖）,44 大卡(每100毫升),http://www.boohee.com//shiwu/fdbb1893
奶类及制品,奶酪，又叫乳酪、芝士、起司、计司,328 大卡(每100克),http://www.boohee.com//shiwu/nailao
奶类及制品,酸奶(中脂),64 大卡(每100毫升),http://www.boohee.com//shiwu/suannai_zhongzhi
奶类及制品,脱脂奶粉,361 大卡(每100克),http://www.boohee.com//shiwu/tuozhinaifen
奶类及制品,酸奶(调味),88 大卡(每100毫升),http://www.boohee.com//shiwu/suannai_diaowei
奶类及制品,酸奶(果料)，又叫果料酸奶,67 大卡(每100毫升),http://www.boohee.com//shiwu/suannai_guoliao
奶类及制品,酸奶(果粒)，又叫果粒酸奶,98 大卡(每100毫升),http://www.boohee.com//shiwu/suannai_guoli
奶类及制品,蒙牛 低脂高钙牛奶，又叫蒙牛袋装高钙牛奶,43 大卡(每100毫升),http://www.boohee.com//shiwu/mengniugaogainiunai
奶类及制品,光明 e+益生菌酸牛奶(原味)220ml (袋装),45 大卡(每100毫升),http://www.boohee.com//shiwu/guangmingeyishengjunsuanniunai_yuanwei
奶类及制品,早餐奶,68 大卡(每100克),http://www.boohee.com//shiwu/zaocannai
奶类及制品,酸奶(高蛋白),62 大卡(每100毫升),http://www.boohee.com//shiwu/suannai_gaodanbai
奶类及制品,奶片,472 大卡(每100克),http://www.boohee.com//shiwu/naipian
奶类及制品,全脂牛奶粉,478 大卡(每100克),http://www.boohee.com//shiwu/quanzhiniunaifen
奶类及制品,光明 纯牛奶，又叫光明牛奶,63 大卡(每100毫升),http://www.boohee.com//shiwu/fded1a79
奶类及制品,光明 优倍UBEST 高品质鲜牛奶，又叫光明 优倍高品质鲜牛奶,65 大卡(每100毫升),http://www.boohee.com//shiwu/fd962a6c
奶类及制品,光明 优倍 0脂肪 高品质脱脂鲜牛奶,35 大卡(每100毫升),http://www.boohee.com//shiwu/fd460d85
奶类及制品,光明 优倍 0乳糖 巴士杀菌调制乳,67 大卡(每100毫升),http://www.boohee.com//shiwu/fdb14fc7
奶类及制品,光明 致优 全鲜乳，又叫光明 致优全鲜乳,63 大卡(每100毫升),http://www.boohee.com//shiwu/fdb47466
奶类及制品,光明 0脂肪 鲜牛奶，又叫光明 0脂肪鲜牛奶,32 大卡(每100毫升),http://www.boohee.com//shiwu/fd458bc8
奶类及制品,牛奶(强化VA，VD)，又叫牛乳(强化VA，VD),51 大卡(每100毫升),http://www.boohee.com//shiwu/niuru_qianghuaVA_VD
奶类及制品,光明 低脂牛奶,43 大卡(每100毫升),http://www.boohee.com//shiwu/guangmingdizhiniunai
奶类及制品,蒙牛 不添加蔗糖风味酸奶，又叫蒙牛木糖醇酸奶,66 大卡(每100克),http://www.boohee.com//shiwu/mengniusuanniunaimutangchun
奶类及制品,低脂奶酪,241 大卡(每100克),http://www.boohee.com//shiwu/dizhinailao
奶类及制品,伊利 无蔗糖酸牛奶(利乐包)150g,52 大卡(每100毫升),http://www.boohee.com//shiwu/yiliwuzhetangsuanniunai
奶类及制品,蒙牛 酸牛奶(草莓+树莓)100g (小盒装),92 大卡(每100毫升),http://www.boohee.com//shiwu/mengniusuanniunai_caomeishumeiguoli
奶类及制品,Easy Fun 酸奶干,386 大卡(每100克),http://www.boohee.com//shiwu/fde25211
奶类及制品,Easy Ace 营养代餐棒(海盐风味),394 大卡(每100克),http://www.boohee.com//shiwu/fdf9f228
奶类及制品,光明减脂90%脱脂鲜牛奶,32 大卡(每100毫升),http://www.boohee.com//shiwu/guangmingjianzhi90tuozhixianniunai
